
[2026-07-24 23:37:58] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-24 23:37:59] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:37:59] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:37:59] INFO     | TheLastSignal | Déconnecté.
[2026-07-24 23:47:46] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-24 23:47:47] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:47:47] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:47:47] INFO     | TheLastSignal | Déconnecté.
[2026-07-24 23:52:53] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-24 23:52:54] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:52:54] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-24 23:52:54] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 00:17:09] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 00:17:10] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 00:17:10] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 00:17:10] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:01:30] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:01:31] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:01:31] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:01:31] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:08:35] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:08:36] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:08:36] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:08:36] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:13:33] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:13:34] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:13:34] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:13:34] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:15:45] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:15:46] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:15:46] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:15:46] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:30:36] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:30:37] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:30:37] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:30:37] INFO     | TheLastSignal | Déconnecté.
[2026-07-25 01:33:43] INFO     | TheLastSignal | Connexion au serveur 127.0.0.1:5000
[2026-07-25 01:33:44] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:33:44] INFO     | TheLastSignal | Paquet envoyé avec succès
[2026-07-25 01:33:44] INFO     | TheLastSignal | Déconnecté.
